Staffs,,,,,,,,,,,,Identity Information:,,,Medical Information:,,,,,,,Permanent Address,,,
First Name,Middle Name,Last Name,Staff ID,Aadhaar Number,Skills,Hobbies,Awards,Recognitions,email,Mobile Number,Alternative Mobile Number,Nationality,Religion,Community:,Scar,Mole:,Medical History:,Address:,City:,State:,Pincode:,Address,City,State,Pincode
Sanjay,Nair,White,STF011,2468 1357 8642,Attention to Detail,Playing sports,Debate Club Award,Drama Club recognition,erpteststaff11@yopmail.com,8712463059,8962430751,Italian,Baha'i Faith,Men,Small scar near hairline,Mole on right forearm,Gastrointestinal issues,4444 Ash St.,Austin,New Jersey,800002,"9, Nai Sadak, Shyam Nagar",Raipur,Odisha,800001
Anu,Kumar,Harris,STF012,1113 2224 3335,Adaptability,Hiking,Drama Club Award,Music Club recognition,erpteststaff12@yopmail.com,9367508241,7436109825,Canadian,Jainism,Ethnic Minorities,Scar on back of right hand,Mole on left thigh,Heart disease,5555 Spruce Ave.,Jacksonville,Virginia,900002,"21, Shastri Nagar, Gangapur City",Chennai,Uttar Pradesh,600001
Karthik,Lakshmi,Martin,STF013,4445 5556 6667,Strategic Planning,Camping,Music Club Award,Art Club recognition,erpteststaff13@yopmail.com,8943276501,8729540136,South African,Cao Dai,Religious Minorities,Scar on right knee,Mole on left earlobe,High blood pressure,6666 Chestnut St.,Fort Worth,Washington,110003,"48, Mahaveer Nagar, Gopalpura Bypass",Ranchi,Rajasthan,560001
Meena,Raj,Thompson,STF014,7779 8888 9997,Customer Service,Traveling,Art Club Award,Student Council recognition,erpteststaff14@yopmail.com,8249163075,9075326841,British,Scientology,Low-Income Families,Scar on left shoulder blade,Mole on right ankle,Insomnia,7777 Redwood Dr.,Columbus,Arizona,400003,"5, Janpath Lane, Sanganer",Varanasi,West Bengal,462003
Raghav,Ravi,Moore,STF015,1214 2325 3436,Sales,Cooking,Athletic Achievement Award,Community Service recognition,erpteststaff15@yopmail.com,7916430582,8347952610,Egyptian,Rastafarianism,Environmentalists,Scar on back of neck,Mole on upper chest,Kidney stones,8888 Laurel Rd.,San Francisco,Massachusetts,600003,"11, Vaishali Nagar, Vidhyadhar Nagar",Nagpur,Goa,273015
Anjali,Vinod,Young,STF016,2345 3456 4567,Marketing,Baking,Most Improved Student Award,Citizenship recognition,erpteststaff16@yopmail.com,8973062154,8921473605,Australian,Druidism,Activists,Scar on left ankle,Mole on left calf,Migraines,9999 Cypress Ave.,Charlotte,Tennessee,700003,"23, Malviya Nagar, Civil Lines",Surat,Himachal Pradesh,400001
Shreya,Arjun,Allen,STF017,8888 7777 6666,Public Speaking,Gardening,Outstanding Student Award,Foreign Language Achievement recognition,erpteststaff17@yopmail.com,8541270693,8490621375,Argentinian,Hare Krishna,Scientists,Scar on upper back,Mole on right elbow,Multiple sclerosis,1212 Magnolia Blvd.,Indianapolis,Indiana,800003,"8, Rambagh Circle, C Scheme",Vadodara,Uttarakhand,834001
Neha,Gaurav,King,STF018,1215 2326 3437,Conflict Resolution,Yoga,Community Service Award,History recognition,erpteststaff18@yopmail.com,9260347581,9125673084,Korean,Wicca,Artists,Scar on left bicep,Mole on back of neck,Osteoporosis,2323 Cedarwood Way,Seattle,Missouri,900003,"15, Pratap Nagar, Nirman Nagar",Thiruvananthapuram,Karnataka,641002
Amrita,Shalini,,STF019,4446 5557 6668,Data Analysis,Meditation,Citizenship Award,English recognition,erpteststaff19@yopmail.com,8492316570,8369147520,Spanish,Satanism,Writers,Scar on right temple,Mole on left shoulder blade,Rheumatoid arthritis,3434 Oakdale Ave.,Denver,Maryland,110004,"29, Kirti Nagar, Tilak Nagar",Coimbatore,Chhattisgarh,380001
Arun,Deepak,,STF020,5558 6677 7799,Programming,Playing board games,Foreign Language Achievement Award,Science recognition,erpteststaff20@yopmail.com,9324760815,8052316794,Kenyan,Atheism,Musicians,Scar on right hip,Mole on right knee,Seasonal allergies,4545 Pinehurst Dr.,"Washington, D.C.",Wisconsin,400004,"7, Patel Marg, Malviya Nagar",Chandigarh,Andhra Pradesh,141001
Gaurav,Neha,,STF021,1216 2327 3438,Web Design,Playing video games,History Award,Social Studies recognition,erpteststaff21@yopmail.com,7941235680,9248617035,Thai,Agnosticism,Athletes,Scar on left hip,Mole on left foot,Severe back pain,5656 Maplewood Rd.,Boston,Minnesota,600004,"62, Raja Park, Jhotwara",Guwahati,Telangana,144401
Nandini,Ashish,,STF022,9876 5432 1987,Graphic Design,Watching movies,English Award,Technology and Innovation recognition,erpteststaff22@yopmail.com,8534760912,8971263405,Indonesian,Animism,Entrepreneurs,Scar on right shoulder,Mole on left hip,Sleep apnea,6767 Sycamore Ln.,Nashville,Colorado,700004,"41, Shyam Nagar, Vaishali Nagar",Agra,Mizoram,122001
Nitin,Kunal,,STF023,2223 3334 4445,Video Editing,Listening to music,Science Award,Academic Achievement recognition,erpteststaff23@yopmail.com,9012874653,7695823140,Dutch,Shamanism,Educators,Scar on left foot,Mole on right bicep,Thyroid disorder,7878 Ashford Ave.,Portland,Alabama,800004,"17, Geeta Bhawan, Mahaveer Nagar",Jodhpur,Arunachal Pradesh,160017
Ravi,Preeti,,STF024,1114 2225 3336,Writing,"Collecting items (e.g. stamps, coins, antiques)",Social Studies Award,National Merit recognition,erpteststaff24@yopmail.com,8960415237,9086234715,Turkish,Voodoo,Health Care Workers,Scar on right wrist,Mole on left lower back,Ulcerative colitis,8989 Willowbrook Dr.,Las Vegas,Louisiana,900004,"52, Mahavir Nagar, Nai Basti",Meerut,Manipur,700001
,Sumit,,STF025,7777 8888 9999,Foreign Language Fluency,DIY projects and crafting,Technology and Innovation Award,Scholarship recognition,erpteststaff25@yopmail.com,8723651049,7896203541,Ghanaian,New Age Spirituality,Animal Rights Activists,Scar on upper right thigh,Mole on right thumb,Vertigo,9090 Chestnut Hill Rd.,Detroit,South Carolina,110005,"30, Sunder Nagar, Ashok Nagar",Nashik,Meghalaya,600002
