Designation,Description,Bank Name,Branch Name,Account Number,IFSC Code,PAN Number,College,Course,Specialization,School,Specialization,Percentage,CGPA,Total marks,gained marks,Designation,Name of Institution,Location,Notes,Father Name,Occupation,Father Email,Father Phone,Mother Name,Mother Occupation
Math Teacher,Teaches drama classes and directs theatrical productions to foster students' theatrical abilities.,Vijaya Bank,Bangalore Basavanagudi,36912151829,ALLA0009999,QQQQQ7777Q,Jadavpur University,Bachelor of Ayurvedic Medicine and Surgery (BAMS),Fashion Design,Sardar Patel Vidyalaya,Environmental Education,68%,8.9,650,584,Technology Teacher,Taft College Preparatory Academy,"Indianapolis, Indiana","Worked as a receptionist at a dental office, scheduling appointments and greeting patients.",Kevin,Sales representative,erptestfather17@yopmail.com,8049362175,Michelle,Sales representative
English Teacher,Teaches science classes and conducts scientific research to promote student scientific understanding.,Andhra Bank,Hyderabad Hitec City,15141311107,FED0001234,RRRRR8888R,Birla Institute of Technology and Science (BITS Pilani),Bachelor of Homeopathic Medicine and Surgery (BHMS),Graphic Design,Shree Swaminarayan Gurukul International School,Gifted and Talented Education,79%,7.6,780,678,Computer Science Teacher,Cleveland Magnet School of Math and Science,"Seattle, Washington","Completed an internship at a software development company, assisting with coding and software testing.",Timothy,Marketing manager,erptestfather18@yopmail.com,9075482361,Angela,Marketing manager
Social Studies Teacher,Teaches math classes and develops math curricula to promote students' mathematical abilities.,Allahabad Bank,Kolkata Gariahat,21222324253,AND0001111,SSSSS9999S,Indian School of Business (ISB),Bachelor of Dental Surgery (BDS),Information Technology,Vasant Valley School,International Education,83%,5.5,970,654,Home Economics Teacher,Coolidge Creative Arts School,"Denver, Colorado","Served as a restaurant hostess, greeting guests and managing seating arrangements.",Anthony,Financial advisor,erptestfather19@yopmail.com,8791506432,Stephanie,Financial advisor
Foreign Language Teacher,Teaches English classes and develops language arts curricula to promote students' language and literacy skills.,UCO Bank,Mumbai Lower Parel,56575859609,VIJB0004567,TTTTT0000T,Indian Institute of Management Ahmedabad (IIMA),Bachelor of Optometry (BOptom),Cybersecurity,Dhirubhai Ambani International School,Distance Education and E-learning,95%,9.3,590,530,Foreign Language Teacher,Hayes Humanities Academy,Washington D.C.,"Worked as a freelance writer, producing content for various websites and publications.",Nicholas,Human resources manager,erptestfather20@yopmail.com,9238741056,Katherine,Human resources manager
IT Support Specialist,Teaches social studies classes and develops social studies curricula to promote students' understanding of history and society.,Kotak Mahindra Bank,Delhi Janakpuri,12572489633,SYNB0008888,UUUUU1111U,Indian Institute of Management Bangalore (IIMB),Bachelor of Physiotherapy (BPT),Hospitality Management,Sri Sri Ravi Shankar Vidya Mandir,School Counseling and Mental Health,77%,4.9,840,490,Reading Specialist,Jackson Environmental Science Institute,"Boston, Massachusetts","Completed an internship at a television news station, assisting with production and reporting.",Benjamin,Information technology specialist,erptestfather21@yopmail.com,8935764210,Rachel,Information technology specialist
Administrative Assistant,Teaches foreign language classes and develops language curricula to promote students' linguistic abilities.,IndusInd Bank,Chennai Adyar,15975348623,UBIN0531011,VVVVV2222V,Indian Institute of Management Calcutta (IIMC),Bachelor of Occupational Therapy (BOT),International Relations,The Sanskaar Valley School,Educational Assessment and Evaluation,88%,7.1,690,529,Speech and Language Pathologist,Hoover Health Sciences Academy,"Nashville, Tennessee","Served as a graphic designer for a marketing agency, creating visual content for clients.",Patrick,Project manager,erptestfather22@yopmail.com,8059476321,Julia,Project manager
Cafeteria Manager,Provides technical support to faculty and students to ensure that the school's technology is functioning properly.,Yes Bank,Bangalore Indiranagar,45678912309,BMBL0000123,WWWW3333W,Indian Institute of Management Lucknow (IIML),Bachelor of Science in Nursing (BSc Nursing),Law,Gitanjali School,Educational Research,99%,8.2,1160,1012,School Psychologist,Pierce Christian School,"Portland, Oregon","Worked as a line cook at a busy restaurant, preparing and plating dishes.",George,Graphic designer,erptestfather23@yopmail.com,8250193476,Christina,Graphic designer
,Supports school administrative tasks to ensure that the school runs smoothly and efficiently.,RBL Bank,Pune Koregaon Park,10203040508,CBI0005678,XXXXX4444X,Indian Institute of Management Kozhikode (IIMK),Bachelor of Science in Agriculture (BSc Ag),Media Studies,The Heritage School,Teacher Education and Professional Development,72%,6.4,780,699,Behavior Specialist,Harding Performing Arts School,"Las Vegas, Nevada","Completed a summer internship at a fashion magazine, assisting with photo shoots and editorial content.",Edward,Real estate agent,erptestfather24@yopmail.com,8957164203,Diana,Real estate agent
,,,Hyderabad Madhapur,22334455663,,YYYYY5555Y,National Institute of Technology Surathkal (NITK),Bachelor of Veterinary Science and Animal Husbandry (BVSc & AH),,Greenwood High School,Career and Technical Education,90%,9.7,1030,1015,ESL Teacher,Buchanan Business and Entrepreneurship School,"Miami, Florida","Served as a volunteer at a community center, providing assistance with various programs and activities.",Frank,Public relations specialist,erptestfather25@yopmail.com,9087461235,Sandra,Public relations specialist
,,,,,OBC0009999,,,,Nursing,,,,,,,,,,,,,,,,
